"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034063","GO:0034063","stress granule assembly","11/1612","38/18860",0.289473684210526,3.38677027556484,4.50237860042599,0.000236650354162125,0.0259155338822641,0.0241437089911948,"ATXN2L/DAZAP2/DDX3X/DYNC1H1/EIF2S1/FMR1/HSF1/MAPT/QKI/USP10/YTHDF2",11
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","59/1612","434/18860",0.135944700460829,1.59051926221541,3.80483543022785,0.000248398440713906,0.0266789479112916,0.02485492899694,"ACO2/ACTN3/ANTKMT/ATP5F1C/ATP5F1D/ATP5MG/BCKDK/CBFA2T3/CCNB1/CDK1/CISD1/COQ10B/COX8C/ENO2/ETFDH/EVA1A/FKRP/FOXK1/FOXK2/GAA/GPI/HDAC4/IDH3A/IFNAR1/IGF2/ISCU/KHK/LDHA/MLST8/MT3/MTFR1/NDUFA3/NDUFA9/NDUFB10/NDUFB2/NDUFB4/NDUFS7/NDUFS8/OXA1L/PDK2/PFKM/PFKP/PGAM1/PHKB/PHKG2/PINK1/PPARA/PPP1CB/PRELID1/RAN/RHOA/SDHA/SDHAF4/SDHD/TIGAR/TMEM135/UQCR10/UQCRC1/WDR45",59
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","38/1612","246/18860",0.154471544715447,1.80727874276261,3.89622198694902,0.000257982550469059,0.0271855197050886,0.0253268668712723,"ACTB/ACVR1B/APC/BCL7A/CCNB1/CCNF/CDC34/CDC6/CDC7/CDC73/CDK1/CDK10/CPSF3/DACT1/DDX3X/DPF2/EIF4EBP1/FBXO7/ID2/KHDRBS1/MEPCE/MYB/PIAS1/PKD1/PKD2/PLK3/PRMT2/RBBP8/RBX1/RCC1/SENP2/SMARCA4/SMARCB1/TFDP1/TMEM14B/UBE2E2/USP38/WAC",38
"GO:0045786","GO:0045786","negative regulation of cell cycle","55/1612","399/18860",0.137844611528822,1.61274775026897,3.78192610855865,0.000279724568087992,0.0289307724587303,0.0269527980518313,"APC/ATM/BABAM2/BMP2/BRSK1/BUB3/CCNB1/CCNF/CDC45/CDC5L/CDC6/CDC73/CDK1/CDT1/CENPF/CEP63/DACT1/DMRT1/DTL/FBXO7/FOXC1/FOXO4/FZR1/GMNN/HASPIN/HOXD10/INTS3/KNL1/NABP2/NPM1/NUBP1/PABIR1/PKD2/PLK3/PML/PRMT2/RAD9A/RBBP8/RBM14/RNF167/RUNX3/SETMAR/SKA1/SMARCA5/SPDL1/SUV39H1/TAOK1/TAOK2/TAOK3/TELO2/TP53I13/TRIM39/WAC/ZFYVE19/ZNHIT1",55
"GO:0010948","GO:0010948","negative regulation of cell cycle process","46/1612","318/18860",0.144654088050314,1.69241693587403,3.80693472775534,0.000292628850133526,0.0297151295999225,0.0276835293054549,"APC/ATM/BABAM2/BRSK1/BUB3/CCNB1/CCNF/CDC45/CDC5L/CDC6/CDC73/CDK1/CDT1/CENPF/CEP63/DACT1/DMRT1/DTL/FBXO7/FOXO4/FZR1/HASPIN/INTS3/KNL1/NABP2/NPM1/NUBP1/PABIR1/PKD2/PLK3/PRMT2/RAD9A/RBBP8/RBM14/SETMAR/SKA1/SMARCA5/SPDL1/TAOK1/TAOK2/TAOK3/TELO2/TRIM39/WAC/ZFYVE19/ZNHIT1",46
"GO:0051054","GO:0051054","positive regulation of DNA metabolic process","42/1612","283/18860",0.148409893992933,1.73635893344089,3.81564062852106,0.000304684689700551,0.0303868569995996,0.0283093312253726,"ACTB/ATM/BABAM2/BCL7A/CCT5/CDC7/CDK1/CDT1/CHTF18/DDX11/DHX9/DKC1/DPF2/ENDOG/EPC2/FUS/HNRNPA1/HSF1/INO80C/INO80E/KAT7/MAP2K7/MLH1/NABP2/PARP3/PIAS4/PKIB/PML/PRDM9/RAD51AP1/RFC3/RTEL1/SETMAR/SMARCA4/SMARCA5/SMARCB1/SMCHD1/SPIRE2/TIGAR/TNKS2/TRIM28/USP1",42
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","65/1612","494/18860",0.131578947368421,1.53944103434766,3.71426290628512,0.00031253418791835,0.0306228673600699,0.028529205741097,"ACO2/ACTN3/ANTKMT/ATP5F1C/ATP5F1D/ATP5MG/AVP/BCKDK/CBFA2T3/CCNB1/CDK1/CISD1/COQ10B/COX8C/ENO2/ETFDH/EVA1A/FKRP/FOXK1/FOXK2/GAA/GPI/GPR180/HDAC4/IDH3A/IFNAR1/IGF2/ISCU/KHK/LDHA/MLST8/MT3/MTFR1/NDUFA3/NDUFA9/NDUFB10/NDUFB2/NDUFB4/NDUFS7/NDUFS8/OXA1L/PDK2/PFKM/PFKP/PGAM1/PGD/PGLS/PHKB/PHKG2/PINK1/PPARA/PPP1CB/PRELID1/RAN/RHOA/SDHA/SDHAF4/SDHD/SLC25A4/THAP11/TIGAR/TMEM135/UQCR10/UQCRC1/WDR45",65
"GO:0001701","GO:0001701","in utero embryonic development","58/1612","429/18860",0.135198135198135,1.58178463389382,3.72639527263675,0.000322155069327729,0.0310213114171615,0.0289004084879667,"ACVR1B/ARMC5/BMP2/BMPR1A/BNIP2/BRK1/BTF3/BYSL/CCN1/CCNB1/CHD7/CMIP/CTR9/DNAJB6/ENDOG/FKRP/FOXC1/FUT8/GATA2/GPI/GSE1/HEY2/HM13/HSF1/IGF2/KDM4C/KDM8/MAFG/MBD3/MDFI/MIB1/MYB/NDEL1/NR2F2/PKD1/PKD2/PLK4/PPP4R4/PTPN18/RBBP8/RIC8A/RSPO3/SEC24C/SENP2/SMAD4/SMARCB1/SOCS3/SPINT2/SUV39H1/TAB1/TAF8/TEAD4/TENT5C/TRIM28/TTLL4/UNK/VASH1/YBX1",58
"GO:0032506","GO:0032506","cytokinetic process","13/1612","52/18860",0.25,2.92493796526055,4.24932138681984,0.000330949106938627,0.0313279790212243,0.0291861094665055,"ANLN/ARF1/CEP55/CHMP2B/CHMP5/CHMP7/CNTROB/IQGAP2/PDCD6IP/RHOA/SPAST/SPIRE2/ZFYVE19",13
"GO:0007098","GO:0007098","centrosome cycle","26/1612","150/18860",0.173333333333333,2.02795698924731,3.86416939723424,0.000396519197123364,0.0369093285988998,0.0343858665154525,"BNIP2/BRSK1/CCDC102B/CCNF/CDK1/CEP192/CEP250/CEP44/CEP63/CHMP2B/CHMP5/CNTLN/CNTROB/DEUP1/DNM2/GADD45A/KIF11/NAT10/NDEL1/NPM1/NUBP1/PARD6B/PDCD6IP/PKD2/PLK4/RBM14",26
"GO:0051148","GO:0051148","negative regulation of muscle cell differentiation","16/1612","74/18860",0.216216216216216,2.52967607806317,4.03060884038251,0.000430536991938882,0.0394188377045681,0.0367238024357876,"BMP2/BMPR1A/FOXO4/HDAC4/HEY2/ID2/IGF2/MED28/NFATC1/NFATC3/PDCD4/PPARA/PTBP1/SMAD4/TNPO2/YBX1",16
"GO:0006414","GO:0006414","translational elongation","16/1612","75/18860",0.213333333333333,2.495947063689,3.96838441055697,0.000504539696948811,0.045363131090268,0.042261689106949,"ABCE1/CPEB2/EEFSEC/EIF5A/ELAC1/MTRES1/MTRFR/OTUD3/RPLP1/SARS1/SELENOT/SKIC2/TCF25/TRNAU1AP/USP10/USP21",16
"GO:0006260","GO:0006260","DNA replication","42/1612","290/18860",0.144827586206897,1.69444682125439,3.6433804082155,0.000511705865476613,0.045363131090268,0.042261689106949,"ADRA2A/ATM/CDC34/CDC45/CDC6/CDC7/CDK1/CDT1/CHRAC1/CHTF18/DDX11/DHX9/DNAJA3/DTL/DYNLL1/ENDOG/FZR1/GMNN/ING5/INO80C/INO80E/KAT7/LIG3/LRWD1/MCM2/NFIX/ORC6/POLA1/POLA2/RBBP8/RFC3/RMI1/RTEL1/SENP2/SET/SETMAR/SMARCA5/TOP1/TWNK/UPF1/WDR18/WRNIP1",42
"GO:0006417","GO:0006417","regulation of translation","62/1612","475/18860",0.130526315789474,1.52712550607287,3.55714440384541,0.000525292379500401,0.0458399678048397,0.0427059248662908,"ABCE1/ALKBH5/APLP1/CNOT8/CNOT9/CPEB2/CTIF/DAPK1/DDX25/DDX3X/DHX9/EEFSEC/EIF1/EIF2A/EIF2S1/EIF3B/EIF3K/EIF4EBP1/EIF5A/EIF5B/ELP5/FASTKD2/FMR1/FOXO3/HRURF/IFRD2/ILF3/KHDRBS1/LSM14B/MIR132/MIRLET7I/MTG1/NAT10/NOLC1/NPM1/OTUD6B/PAIP2/PCIF1/PINK1/PML/POLR2G/PRKCA/PRR16/PTCD3/QKI/RBX1/RNF139/RPL10/RPL13A/RPL5/SARS1/SELENOT/TBK1/TNRC6B/TNRC6C/TRNAU1AP/TRUB2/UNK/UPF1/WTIP/YBX1/YTHDF2",62
"GO:0090224","GO:0090224","regulation of spindle organization","12/1612","48/18860",0.25,2.92493796526055,4.08218186470588,0.000555944262062225,0.0467798918335304,0.0435815870203347,"CHMP2B/CHMP5/CHMP7/DYNC1H1/FSD1/GNAI1/GPSM2/PARP3/PKD1/RAE1/RCC1/RNF4",12
"GO:0000910","GO:0000910","cytokinesis","31/1612","195/18860",0.158974358974359,1.85996055226824,3.69023748219697,0.00055728750438562,0.0467798918335304,0.0435815870203347,"ANLN/APC/ARF1/CALM3/CDC14A/CDC25B/CDC42/CDC6/CENPA/CEP55/CHMP2B/CHMP5/CHMP7/CKAP2/CNTROB/EFHC1/FSD1/IQGAP2/NOX5/PDCD6IP/PLK3/PRKCE/RASA1/RHOA/RXFP3/SEPTIN2/SEPTIN9/SPAST/SPIRE2/SPTBN1/ZFYVE19",31
"GO:0006405","GO:0006405","RNA export from nucleus","19/1612","98/18860",0.193877551020408,2.26831923836532,3.84834969797811,0.000566465715698084,0.0467798918335304,0.0435815870203347,"ALKBH5/DDX25/DDX39A/DHX9/FMR1/FYTTD1/GLE1/HNRNPA1/KHDRBS1/MCM3AP/NUP107/NUP214/RAE1/RAN/RANBP2/RBM33/SMG7/THOC6/UPF1",19
"GO:0051236","GO:0051236","establishment of RNA localization","28/1612","170/18860",0.164705882352941,1.92701795358342,3.71176465965069,0.000569567170041194,0.0467798918335304,0.0435815870203347,"ALKBH5/ATM/DDX25/DDX39A/DHX9/FMR1/FYTTD1/GLE1/HNRNPA1/HSF1/KHDRBS1/KHSRP/MCM3AP/NUP107/NUP214/NUP50/QKI/RAE1/RAN/RANBP2/RBFOX1/RBM33/SEH1L/SENP2/SMG7/THOC6/UPF1/YBX1",28
"GO:0071824","GO:0071824","protein-DNA complex organization","39/1612","265/18860",0.147169811320755,1.72185027388923,3.61779911719772,0.000580162057516204,0.0469594940757681,0.0437489099969885,"BRD2/CABIN1/CDC45/CDT1/CENPA/CENPF/CENPN/CENPO/CHD2/CHRAC1/GMNN/GTF2H5/H2AC25/H2BC11/H2BC13/H2BC4/H2BC8/H4C14/HEY2/HMGA1/MCM2/MCM3AP/MCMDC2/MED11/MED15/MED18/MED28/MIS12/NFKBIZ/NPM1/PIAS1/RNF4/SET/SMARCA4/SMARCA5/SMARCB1/TAF1B/TAF4B/TAF8",39
